scheduled_id,property_id,begin_date,end_date,type_visit,status
169548,1,2022-01-13T10:00:00-03:00,2022-01-13T12:00:00-03:00,Visit,Cancelled
184763,1,2022-01-26T18:00:00-03:00,2022-01-26T20:00:00-03:00,Visit,Cancelled
186092,1,2022-01-28T12:00:00-03:00,2022-01-28T14:00:00-03:00,Visit,Cancelled
182497,1,2022-01-23T11:00:00-03:00,2022-01-23T13:00:00-03:00,Visit,Cancelled
182396,1,2022-01-23T10:00:00-03:00,2022-01-23T12:00:00-03:00,Visit,Cancelled
174344,1,2022-01-13T15:00:00-03:00,2022-01-13T17:00:00-03:00,Visit,Cancelled
172945,1,2022-01-11T12:00:00-03:00,2022-01-11T14:00:00-03:00,Visit,Cancelled
169547,1,2022-01-13T12:00:00-03:00,2022-01-13T14:00:00-03:00,Visit,Cancelled
169370,1,2022-01-10T12:00:00-03:00,2022-01-10T14:00:00-03:00,Visit,Cancelled
181607,2,2022-01-20T13:00:00-03:00,2022-01-20T15:00:00-03:00,Visit,Done
179000,2,2022-01-20T13:00:00-03:00,2022-01-20T15:00:00-03:00,Visit,Cancelled
177048,3,2022-01-14T19:30:00-03:00,2022-01-14T21:30:00-03:00,Visit,Done
167845,3,2022-01-14T16:00:00-03:00,2022-01-14T18:00:00-03:00,Visit,Cancelled
169262,3,2022-01-13T13:00:00-03:00,2022-01-13T15:00:00-03:00,Visit,Cancelled
172485,3,2022-01-16T19:00:00-03:00,2022-01-16T21:00:00-03:00,Visit,Cancelled
172651,3,2022-01-12T17:30:00-03:00,2022-01-12T19:30:00-03:00,Visit,Cancelled
174750,3,2022-01-14T18:00:00-03:00,2022-01-14T20:00:00-03:00,Visit,Cancelled
166477,3,2022-01-11T16:00:00-03:00,2022-01-11T18:00:00-03:00,Visit,Cancelled
164793,3,2022-01-10T13:00:00-03:00,2022-01-10T15:00:00-03:00,Visit,Done
172624,3,2022-01-13T12:00:00-03:00,2022-01-13T14:00:00-03:00,Visit,Cancelled
163162,3,2022-01-05T13:00:00-03:00,2022-01-05T15:00:00-03:00,Visit,Cancelled
164788,4,2022-01-03T10:00:00-03:00,2022-01-03T12:00:00-03:00,Visit,Cancelled
179126,5,2022-01-20T10:00:00-03:00,2022-01-20T12:00:00-03:00,Visit,Cancelled
179811,5,2022-01-26T10:00:00-03:00,2022-01-26T12:00:00-03:00,Visit,Cancelled
168308,5,2022-01-07T11:00:00-03:00,2022-01-07T13:00:00-03:00,Visit,Done
169044,5,2022-01-14T17:00:00-03:00,2022-01-14T19:00:00-03:00,Visit,Cancelled
173168,5,2022-01-15T18:30:00-03:00,2022-01-15T20:30:00-03:00,Visit,Cancelled
169043,5,2022-01-14T10:00:00-03:00,2022-01-14T12:00:00-03:00,Visit,Cancelled
169343,5,2022-01-10T17:00:00-03:00,2022-01-10T19:00:00-03:00,Visit,Cancelled
171942,5,2022-01-09T16:00:00-03:00,2022-01-09T18:00:00-03:00,Visit,Done
169042,5,2022-01-14T09:00:00-03:00,2022-01-14T11:00:00-03:00,Visit,Cancelled
